id,hindi,santali
372,"वे रात के दर्शन के साथ अंधेरे में बहुत अच्छी तरह से देख सकते हैं, और बहुत ही हिलते हैं ।",ᱩᱱᱠᱩ ᱫᱚ ᱧᱤᱫᱟᱹ ᱨᱮᱭᱟᱜ ᱠᱟᱲᱟᱝ ᱠᱩᱪᱟᱹᱝ ᱧᱩᱛ ᱨᱮᱦᱚᱸ ᱱᱟᱯᱟᱭ ᱛᱮᱠᱚ ᱧᱮᱞ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ ᱟᱨ ᱛᱷᱤᱨ ᱛᱮᱠᱚ ᱯᱟᱨᱚᱢ ᱫᱟᱲᱮᱭᱟᱜᱼᱟ᱾ ᱩᱱᱠᱩ ᱯᱩᱭᱞᱩ ᱟᱠᱚᱣᱟᱜ ᱥᱩᱨᱥᱩᱯᱩᱨᱮ ᱥᱮᱸᱫᱽᱨᱟ ᱠᱚ‌ ᱪᱟᱨᱦᱟᱣ ᱠᱚᱣᱟ ᱚᱱᱟ ᱛᱟᱭᱚᱢ ᱥᱮᱸᱫᱽᱨᱟ ᱠᱚ‌ ᱚᱛᱟ ᱠᱚᱣᱟ᱾
373,"जब जीवित चीजों का एक छोटा समूह मुख्य जनसंख्या से अलग हो जाता है (जैसे कि वे एक पहाड़ सीमा या एक नदी के ऊपर जाते हैं, या अगर वे एक नए द्वीप में ले जाते हैं ताकि वे आसानी से वापस नहीं जा सकते हैं) वे अक्सर एक अलग वातावरण में अपने आप को पाते हैं.",ᱡᱚᱠᱷᱚᱱ ᱵᱟᱧᱪᱟᱣ ᱡᱩᱱᱛᱩ ᱠᱚᱹᱣᱤᱡ ᱢᱤᱫ ᱦᱩᱰᱤᱧ ᱫᱚᱞ (ᱢᱤᱫ ᱠᱷᱟᱴᱚ ᱞᱮᱠᱷᱟ ᱦᱚᱲ) ᱢᱩᱬᱩᱛ ᱫᱚᱞ ᱠᱷᱚᱱ ᱠᱚ ᱵᱷᱮᱜᱟᱨᱚᱜᱼᱟ (ᱡᱮᱢᱚᱱ ᱩᱱᱠᱩ ᱫᱚ ᱢᱤᱫ ᱵᱚᱨᱚ ᱟᱨᱵᱟᱝ ᱢᱤᱫ ᱜᱟᱰᱟ ᱨᱮᱠᱚ ᱯᱟᱨᱚᱢᱚᱜ ᱠᱟᱱᱟ ᱢᱤᱫ ᱱᱟᱶᱟ ᱟᱭᱤᱥᱞᱟᱸᱰ ᱛᱮ ᱡᱟᱦᱟᱸ ᱠᱷᱚᱱ ᱨᱩᱣᱟᱹᱲ ᱵᱟᱝ ᱟᱞᱜᱟᱦᱟ) ᱩᱱᱠᱩ ᱫᱚ ᱢᱤᱫ ᱱᱟᱶᱟ ᱡᱟᱭᱜᱟ ᱨᱮᱠᱚ ᱧᱟᱢ ᱠᱚᱣᱟ᱾
374,"इस नए वातावरण में अलग - अलग साधन और भिन्‍न - भिन्‍न प्रतियाँ हैं, सो नयी जनसंख्या को एक ऐसे भिन्‍न विशेषताओं या अनुकूल होने की ज़रूरत होगी जिसकी उन्हें पहले ज़रूरत थी ।",ᱱᱤᱭᱟᱹ ᱱᱟᱶᱟ ᱥᱟᱪᱟᱨᱦᱮ ᱨᱮᱭᱟᱜ ᱵᱷᱮᱜᱟᱨ ᱨᱤᱥᱚᱨᱥᱮᱥ ᱟᱨ ᱵᱷᱮᱜᱟᱨ ᱦᱟᱯᱴᱟᱣᱤᱭᱟᱹ ᱠᱚ ᱢᱮᱱᱟᱜ ᱠᱚᱣᱟ ᱚᱱᱟᱛᱮ ᱱᱟᱶᱟ ᱦᱚᱲ ᱠᱚᱫᱚ ᱥᱮᱫᱟᱭ ᱡᱟᱦᱟᱸ ᱛᱟᱦᱮᱸᱠᱟᱱ ᱛᱟᱠᱚᱣᱟ ᱚᱱᱟ ᱵᱟᱫ ᱵᱷᱮᱜᱟᱨ ᱯᱷᱤᱭᱮᱪᱚᱨ ᱟᱨᱵᱟᱝ ᱟᱰᱟᱯᱴᱮᱥᱚᱱ ᱠᱚ ᱠᱷᱚᱡᱚᱜ ᱠᱟᱱᱟ ᱡᱟᱦᱟᱸ ᱫᱚ ᱢᱤᱫ ᱠᱮᱴᱮᱡ ᱦᱟᱯᱴᱟᱣᱤᱡᱼᱮ ᱵᱮᱱᱟᱣ ᱠᱚᱣᱟ᱾
375,"मूल जनसंख्या में कोई परिवर्तन नहीं हुआ है, वे अभी भी पहले की तरह ही अनुकूलता की आवश्यकता है.","ᱢᱤᱬᱩᱛ ᱦᱚᱲ ᱠᱚᱫᱚ ᱱᱤᱛ ᱵᱷᱩᱨ ᱵᱟᱝᱠᱚ ᱵᱚᱫᱚᱞᱟ ᱠᱟᱱᱟ, ᱩᱱᱠᱩ ᱫᱚ ᱯᱩᱭᱞᱩ ᱞᱮᱠᱟᱜᱮ ᱱᱤᱛ ᱦᱚᱸ ᱚᱱᱟ ᱟᱰᱟᱯᱴᱮᱥᱚᱱ ᱜᱮᱠᱚ ᱠᱷᱚᱡᱚᱜ ᱠᱟᱱᱟ᱾"
376,"समय के गुज़रते, जैसे - जैसे नयी जनसंख्या अपने नए वातावरण के अनुकूल होने लगती है, वे अन्य जनसंख्या की तरह कम और कम दिखने लगते हैं ।","ᱚᱠᱛᱚ ᱥᱟᱶ, ᱱᱟᱶᱟ ᱦᱚᱲ ᱠᱚ ᱡᱚᱠᱷᱚᱱ ᱟᱠᱚᱣᱟᱜ ᱱᱟᱶᱟ ᱥᱟᱪᱟᱨᱦᱮ ᱠᱚ ᱦᱟᱛᱟᱣᱟ, ᱩᱱᱠᱩ ᱫᱚ ᱮᱴᱟᱜ ᱦᱚᱲ ᱠᱚ ᱞᱮᱠᱟ ᱠᱟᱹᱡ~ᱠᱟᱹᱡ ᱠᱚ ᱧᱮᱞ ᱤᱫᱤᱜᱼᱟ᱾"
377,"अंत में, हजारों या लाखों वर्षों के बाद भी, दो आबादी इतने अलग लग जाएगा कि वे एक ही प्रजाति नहीं कहा जा सकता.","ᱢᱩᱪᱟᱹᱫ ᱨᱮ, ᱢᱤᱫ ᱦᱟᱡᱟᱨ ᱟᱨᱵᱟᱝ ᱞᱟᱠᱷ~ᱞᱟᱠᱷ ᱥᱮᱨᱢᱟ ᱛᱟᱭᱚᱢ ᱵᱟᱨᱭᱟ ᱦᱚᱲ ᱡᱟᱹᱛᱤ ᱚᱝᱠᱟᱠᱤᱱ ᱵᱷᱮᱜᱟᱨᱚᱜᱼᱟ ᱡᱮ ᱩᱱᱠᱩᱱ ᱫᱚ ᱥᱚᱢᱟᱱ ᱥᱯᱤᱥᱤᱡᱽ ᱢᱮᱱᱛᱮ ᱢᱮᱱ ᱵᱟᱝ ᱜᱟᱱᱚᱜᱼᱟ᱾"
378,"हम इस प्रक्रिया की जाँच करते हैं, जिसका अर्थ है नयी जातियाँ उत्पन्‍न करना ।","ᱟᱞᱮ ᱱᱚᱣᱟ ᱯᱨᱚᱥᱮᱥ ᱫᱚ ᱥᱯᱮᱥᱤᱭᱮᱥᱚᱱ ᱞᱮ‌ ᱢᱮᱛᱟᱜᱼᱟ, ᱡᱟᱦᱟᱸ ᱢᱮᱱᱮᱛ ᱫᱚ ᱵᱟᱨᱭᱟ ᱱᱟᱶᱟ ᱥᱯᱤᱥᱤᱡᱽ ᱵᱮᱱᱟᱣ᱾ ᱥᱯᱮᱥᱤᱭᱮᱥᱚᱱ ᱫᱚ ᱢᱤᱫ ᱵᱟᱝ ᱟᱲᱟᱜ ᱜᱤᱰᱤᱭᱟᱱ ᱠᱚᱱᱥᱤᱠᱣᱮᱱᱥᱤ ᱟᱨ ᱤᱵᱷᱚᱞᱭᱩᱥᱚᱱ ᱨᱮᱭᱟᱜ ᱢᱤᱫ ᱟᱹᱰᱤ ᱡᱟᱹᱨᱩᱲᱟᱱ ᱠᱟᱛᱷᱟ ᱠᱟᱱᱟ᱾"
379,"पौधे ऑक्सीजन बनाते हैं जो मनुष्य साँस लेते हैं, और वे कार्बन-डिस्‌ में लेते हैं जो मनुष्य साँस लेता है (कि, साँस से बाहर है).","ᱫᱟᱨᱮ ᱠᱚᱫᱚ ᱚᱠᱥᱤᱡᱮᱱ ᱠᱚ ᱵᱮᱱᱟᱣᱟ ᱡᱟᱦᱟᱸ ᱛᱮᱠᱚ ᱥᱟᱦᱮᱫᱟ, ᱟᱨ ᱱᱩᱠᱩ ᱫᱚ ᱠᱟᱨᱵᱚᱱ ᱰᱟᱭᱚᱠᱥᱟᱭᱤᱰ ᱠᱚ ᱩᱰᱩᱠᱟ ᱡᱟᱦᱟᱸ ᱫᱟᱨᱮ ᱥᱟᱦᱮᱫᱟᱭ᱾"
380,"प्रकाश देने के द्वारा सूर्य से अपना भोजन उगाता है, और छाया भी देता है।",ᱫᱟᱨᱮ ᱟᱡᱟᱜ ᱡᱚᱢᱟᱜ ᱫᱚ ᱵᱮᱲᱟ ᱛᱟᱨᱟᱥ ᱛᱮ ᱵᱮᱱᱟᱣᱟᱭ ᱡᱟᱦᱟᱸ ᱫᱚ ᱯᱷᱚᱴᱚᱥᱤᱱᱛᱷᱮᱥᱤᱥ ᱠᱚ ᱢᱮᱛᱟᱜᱼᱟ᱾ ᱩᱱᱠᱩ ᱦᱚᱸ ᱩᱢᱩᱞ ᱠᱚ ᱮᱢᱚᱜᱼᱟ᱾
381,हम अपने घर पौधों से बनाते हैं और पौधों से कपड़े बनाते हैं ।,ᱟᱵᱚ ᱚᱲᱟᱜ ᱫᱟᱨᱮ ᱛᱮᱵᱚᱱ ᱵᱮᱱᱟᱣᱮᱫᱼᱟ ᱟᱨ ᱞᱩᱜᱽᱲᱤ ᱦᱚᱸ ᱫᱟᱨᱮ ᱠᱷᱚᱱ᱾ ᱡᱚᱢᱟᱜ ᱠᱚᱦᱚᱸ ᱵᱤᱥᱛᱤ ᱫᱟᱨᱮ ᱠᱷᱚᱱ ᱧᱟᱢᱚᱜ ᱠᱟᱱ᱾ ᱫᱟᱨᱮ ᱵᱟᱝᱠᱷᱟᱱ ᱡᱩᱱᱛᱩ ᱵᱟᱠᱚ ᱵᱟᱧᱪᱟᱣᱜᱼᱟ᱾
382,"मोसासॉरस अपने समय का श्‍वेत शिकारी था, इसलिए वह किसी भी बात का डर नहीं करता था, सिवाय दूसरे मोची के ।","ᱢᱳᱥᱟᱥᱚᱨᱚᱥ ᱟᱭᱟᱜ ᱚᱠᱛᱚ ᱨᱮᱱ ᱡᱚᱛᱚ ᱠᱷᱚᱱ ᱞᱟᱴᱩ ᱥᱤᱠᱟᱨᱤ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ, ᱱᱚᱣᱟ ᱤᱭᱮᱛᱮ ᱩᱱᱤ ᱫᱚ ᱡᱟᱦᱟᱱ ᱮᱴᱟᱜ ᱡᱤᱱᱤᱥ ᱨᱮᱭᱟᱜ ᱵᱚᱛᱚᱨ ᱵᱟᱝ ᱛᱟᱦᱮᱸ ᱞᱮᱱ ᱛᱟᱭᱟ, ᱢᱮᱥᱥᱟᱳᱨᱮ ᱠᱚ ᱵᱟᱜᱤ ᱠᱮᱛᱮᱡ᱾"
383,"इसके लंबे जबड़े 70 से भी अधिक टाइट-पिंड दाँत, साथ ही उसके मुंह की छत में एक अतिरिक्त सेट के साथ बनाया गया था, मतलब है कि कुछ भी करने के लिए कोई भी भागने के लिए नहीं था कि अपने पथ पार किया गया था.","ᱱᱩᱭᱟᱜ ᱡᱤᱞᱤᱧ ᱛᱷᱚᱛᱷᱚᱱᱟ ᱗᱐ ᱠᱷᱚᱱ ᱵᱟᱲᱛᱤ ᱰᱟᱴᱟ ᱠᱚ ᱢᱮᱱᱟᱜ ᱛᱟᱭᱟ, ᱥᱟᱦᱟᱸᱣ ᱛᱮ ᱩᱱᱤᱭᱟᱜ ᱢᱩᱪᱟ ᱨᱮᱭᱟᱜ ᱪᱮᱛᱟᱱ ᱵᱷᱟᱜ ᱨᱮ ᱟᱨ ᱦᱚᱸ ᱛᱟᱦᱮᱸ ᱞᱮᱱᱟ, ᱡᱟᱦᱟᱱ ᱨᱮᱭᱟᱜ ᱢᱟᱱᱮ ᱫᱚ ᱠᱟᱱᱟ ᱡᱮ ᱩᱱᱤᱭᱟᱜ ᱰᱟᱦᱟᱨ ᱦᱟᱡᱩᱜ ᱠᱟᱱ ᱡᱟᱦᱟᱱ ᱡᱤᱱᱤᱥ ᱵᱟᱝ ᱵᱟᱱᱪᱟᱣ ᱫᱟᱲᱤᱭᱟᱜ-ᱟ᱾"
384,"हम निश्‍चित रूप से पता नहीं है, लेकिन शायद यह एक चक्करदार जीभ थी ।","ᱟᱞᱮ ᱜᱚᱴᱟᱭ ᱛᱮ ᱵᱟᱞᱮ ᱵᱟᱰᱟᱭᱟ, ᱢᱮᱱᱟᱠᱷᱟᱱ ᱦᱚᱭ ᱫᱟᱲᱤᱭᱟᱜ-ᱟ ᱡᱮ ᱱᱩᱭᱟᱜ ᱟᱞᱟᱝ ᱫᱚ ᱡᱟᱱᱩᱢ ᱞᱮᱠᱟ ᱢᱮᱱᱟᱜ-ᱟ᱾ ᱱᱚᱣᱟ ᱞᱟᱹᱜᱤᱫ ᱟᱦᱟᱨ ᱨᱮ ᱦᱚᱨᱚ, ᱞᱟᱴᱩ ᱦᱟᱠᱩ ᱠᱚ, ᱮᱴᱟᱜ ᱢᱟᱥᱟᱥᱳᱨ ᱥᱮᱞᱮᱫ ᱛᱟᱦᱮᱸ ᱞᱮᱱᱟ, ᱟᱨ ᱯᱟᱥᱮᱜ ᱟᱨᱵᱷᱟᱠᱪᱷᱤ ᱦᱚᱸᱭ ᱦᱚᱭ ᱫᱟᱲᱤᱭᱟᱜ-ᱟ᱾"
385,इसने उन किसी भी चीज़ पर हमला किया जो पानी में प्रवेश करती; यहाँ तक कि टी.,ᱚᱱᱟ ᱫᱚ ᱟᱨᱦᱚᱸ ᱫᱟᱜ ᱨᱮ ᱡᱟᱦᱟᱱ ᱵᱚᱞᱚᱱ ᱡᱤᱱᱤᱥ ᱨᱮᱜᱮ ᱦᱟᱢᱞᱟ ᱟᱠᱟᱫ-ᱟᱭ; ᱡᱟᱦᱟᱸ ᱞᱮᱠᱟ ᱢᱤᱫ ᱢᱟᱨᱟᱝ ᱰᱟᱭᱱᱟᱥᱳᱨ ᱴᱤ.ᱨᱮᱠᱥ ᱥᱟᱸᱣ ᱦᱚᱸ ᱪᱮᱫ ᱢᱤᱞᱟᱹᱣ   ᱡᱩᱞᱟᱹᱣ ᱵᱟᱝ ᱦᱩᱭ ᱠᱮᱭᱟ।
386,"जबकि उनका अधिकांश भोजन हम से परिचित हो जाता, रोमियों के पास असाधारण या असाधारण दावत की वस्तुओं का भाग होता, जिसमें जंगली सूअर, मोर, घोंघा, और एक प्रकार की छड़ी भी शामिल थी जिसे आममोशी कहा जाता था","ᱡᱟᱦᱟᱸ ᱜᱮ ᱚᱱᱟ ᱨᱮᱱᱟᱜ ᱵᱟᱹᱲᱛᱤ ᱡᱚᱢᱟᱜ ᱫᱚ ᱟᱵᱚ ᱵᱟᱰᱟᱭ ᱢᱮᱱᱟᱜ ᱜᱮᱭᱟ, ᱨᱚᱢᱱᱚ ᱠᱚ ᱴᱷᱮᱱ ᱡᱟᱝᱜᱽᱞᱤ ᱥᱩᱠᱨᱤ, ᱢᱟᱨᱟᱜ, ᱜᱷᱚᱝᱜᱟ ᱟᱨ ᱢᱤᱫ ᱞᱮᱠᱟᱱ ᱠᱨᱤᱛᱟᱸᱠ ᱡᱟᱦᱟᱸ ᱫᱚ ᱰᱟᱨᱢᱦᱟᱣᱩᱥ ᱠᱚ ᱢᱮᱛᱟ ᱠᱚᱣᱟ, ᱥᱟᱶᱛᱮ ᱟᱡᱤᱵᱽ ᱥᱮ ᱟᱥᱟᱢᱟᱱᱭᱚ ᱫᱟᱣᱟᱛ ᱨᱮᱱᱟᱜ ᱥᱟᱢᱟᱱ ᱠᱚ ᱨᱮᱱᱟᱜ ᱦᱟᱹᱴᱤᱧ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ᱾"
387,"एक और फर्क यह था कि जब गरीब लोग औरत कुर्सी पर बैठते वक्‍त अपना खाना खाते, तो अमीर आदमियों को एक - साथ दावत करनी बहुत पसंद थी ।","ᱢᱤᱫ ᱟᱨ ᱟᱱᱛᱟᱨ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱡᱮ ᱡᱟᱦᱟᱸ ᱨᱮ ᱨᱮᱸᱜᱮᱡ ᱦᱚᱲ ᱟᱨ ᱛᱤᱨᱞᱟᱹ ᱠᱚ ᱢᱟᱹᱪᱤ ᱨᱮ ᱫᱩᱲᱩᱵ ᱠᱟᱛᱮ ᱟᱠᱚᱣᱚᱟᱜ ᱫᱟᱠᱟ ᱠᱚ ᱡᱚᱢ ᱮᱫ ᱛᱟᱦᱮᱱᱟ, ᱚᱸᱰᱮ ᱜᱮ ᱠᱤᱥᱟᱬ ᱦᱚᱲ ᱢᱤᱫ ᱥᱟᱶᱛᱮ ᱵᱷᱚᱡᱽ ᱞᱟᱹᱜᱤᱫ ᱠᱚ ᱠᱩᱥᱤᱭᱟᱫ ᱠᱟᱱᱟ, ᱡᱟᱦᱟᱸ ᱩᱱᱠᱩ ᱠᱚ ᱡᱚᱢᱟᱜ ᱚᱠᱛᱮ ᱟᱯᱱᱟᱨ ᱯᱟᱪᱷ ᱨᱮ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱠᱚ᱾"
388,प्राचीन रोम के भोजन में भोजन शामिल नहीं था जो अमरीका से या बाद में एशिया से यूरोप में आया था.,ᱥᱮᱫᱟᱭ ᱨᱚᱢᱟᱱ ᱡᱚᱢᱟᱜ ᱨᱮ ᱚᱱᱟ ᱠᱷᱟᱫᱽᱭᱚ ᱢᱮᱥᱟ ᱵᱟᱝ ᱦᱩᱭ ᱫᱟᱲᱮᱭᱟᱜ ᱠᱟᱱ ᱛᱟᱦᱮᱱᱟ ᱡᱟᱦᱟᱸ ᱫᱚ ᱛᱟᱭᱚᱢ ᱛᱮ ᱥᱮᱱᱪᱩᱨᱤ ᱨᱮ ᱟᱢᱮᱨᱤᱠᱟ ᱥᱮ ᱤᱭᱚᱨᱳᱯ ᱠᱷᱚᱱ ᱮᱥᱤᱭᱟ ᱠᱚ ᱦᱮᱡ ᱞᱮᱱᱟ᱾
389,"उदाहरण के लिए, उनके पास न तो अनाज, न आलू, न कोको, और न किसी प्राचीन रोमी ने किसी केए का स्वाद चखा ।","ᱫᱟᱹᱭᱠᱟ ᱞᱟᱹᱜᱤᱫ, ᱩᱱᱠᱩ ᱴᱷᱮᱱ ᱵᱟᱝ ᱫᱚ ᱡᱚᱱᱰᱨᱟ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ, ᱵᱟᱝ ᱫᱚ ᱵᱤᱞᱟᱛᱤ, ᱵᱟᱝ ᱫᱚ ᱟᱹᱞᱩ, ᱵᱟᱝ ᱫᱚ ᱠᱚᱠᱚ ᱟᱨ ᱡᱟᱦᱟᱸᱱ ᱥᱮᱫᱟᱭᱟᱜ ᱨᱚᱢᱟᱱ ᱠᱚ ᱫᱚ ᱚᱠᱟ ᱫᱚ ᱴᱟᱨᱠᱤ ᱨᱮᱱᱟᱜ ᱪᱟᱠᱷᱟ ᱵᱟᱝ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ᱾"
390,बाबुलियों ने अपने हर देवता को एक मुख्य मन्दिर बनाया जिसे देवता का घर माना जाता था ।,ᱵᱮᱵᱤᱞᱳᱱᱤᱭᱳ ᱠᱚ ᱫᱚ ᱟᱠᱚ ᱨᱤᱱ ᱥᱟᱱᱟᱢ ᱫᱷᱚᱨᱢᱚ ᱠᱚ ᱢᱤᱫ ᱯᱨᱟᱭᱤᱢᱟᱨᱤ ᱢᱚᱱᱫᱤᱨ ᱵᱟᱱᱟᱣ ᱦᱩᱭ ᱮᱱᱟ ᱡᱟᱦᱟᱸ ᱨᱮ ᱫᱷᱚᱨᱢᱚ ᱟᱜ ᱚᱲᱟᱜ ᱢᱟᱱᱟᱜ ᱠᱟᱱ ᱛᱟᱦᱮᱱᱟ᱾
391,लोग देवताओं और याजकों को बलि चढ़ाने के लिए रस्मों - रिवाज़ और त्योहारों के ज़रिए परमेश्‍वर की ज़रूरतों को पूरा करने की कोशिश करते ।,ᱦᱚᱲ ᱠᱚ ᱫᱷᱚᱨᱢᱚ ᱞᱟᱹᱜᱤᱫ ᱠᱚ ᱫᱟᱱ ᱮᱫ ᱛᱟᱦᱮᱱᱟ ᱟᱨ ᱯᱩᱡᱟᱨᱤ ᱠᱚ ᱟᱨ ᱯᱚᱨᱚᱵ ᱠᱚ ᱦᱚᱛᱮᱛᱮ ᱫᱷᱚᱨᱢᱚ ᱠᱚᱣᱟᱜ ᱞᱟᱹᱠᱤᱭᱟᱱ ᱠᱚ ᱯᱩᱨᱟᱹᱣ ᱨᱮᱱᱟᱜ ᱠᱚ ᱨᱤᱠᱟᱹ ᱮᱫ ᱛᱟᱦᱮᱱᱟ᱾
392,हर मंदिर में एक मंदिर का आँगन था और फिर एक भीतरी पवित्रस्थान था जो केवल याजक ही प्रवेश कर सकते थे ।,ᱥᱟᱱᱟᱢ ᱢᱚᱱᱫᱤᱨ ᱨᱮ ᱢᱤᱫ ᱡᱷᱤᱡ ᱢᱚᱱᱫᱤᱨ ᱯᱨᱚᱜᱚᱬ ᱟᱨ ᱟᱨᱦᱚᱸ ᱢᱤᱫ ᱟᱱᱛᱨᱤᱠ ᱟᱵᱷᱭᱟᱨᱚᱬᱭᱚ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱡᱟᱦᱟᱸ ᱫᱚ ᱥᱩᱢᱩᱝ ᱯᱩᱡᱟᱨᱤ ᱜᱮ ᱠᱚ ᱵᱚᱞᱚ ᱫᱟᱲᱮ ᱠᱟᱱ ᱛᱟᱦᱮᱱᱟ᱾
393,"कभी - कभी ख़ास पिरामिडों को आकार दिया जाता था, जिन्हें zeugugugs कहा जाता था, मंदिरों का एक हिस्सा बनाया जाता था ।","ᱚᱠᱟᱼᱚᱠᱟ ᱫᱚ ᱵᱤᱥᱮᱥ ᱯᱤᱨᱟᱢᱤᱰ ᱨᱮᱱᱟᱜ ᱟᱠᱟᱨ ᱨᱮᱱᱟᱜ ᱵᱷᱤᱛ, ᱡᱟᱦᱟᱸ ᱫᱚ ᱡᱤᱜᱟᱜᱩᱨᱟᱴ ᱠᱚ ᱢᱮᱛᱟᱣᱟᱜ ᱠᱟᱱᱟ, ᱢᱚᱱᱫᱤᱨ ᱨᱮᱱᱟᱜ ᱦᱟᱹᱴᱤᱧ ᱵᱮᱱᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱵᱮᱱᱟᱣ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ᱾"
394,गुम्मट का ऊपरी भाग ईश्‍वर के लिए ख़ास स्थान था ।,ᱴᱟᱣᱟᱨ ᱪᱮᱛᱟᱱᱨᱮ ᱫᱷᱚᱨᱢᱚ ᱞᱟᱹᱜᱤᱫ ᱵᱤᱥᱮᱥ ᱟᱵᱷᱭᱟᱨᱚᱬᱭᱚ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ᱾
395,"मध्य पूर्व के गर्म मौसम में, घर इतना महत्त्वपूर्ण नहीं था ।","ᱛᱟᱞᱟᱱᱟ ᱥᱟᱢᱟᱝ ᱨᱮᱱᱟᱜ ᱞᱚᱞᱚ ᱦᱚᱭ ᱫᱟᱜ ᱨᱮ, ᱚᱲᱟᱜ ᱩᱱᱟᱹᱜ ᱠᱷᱟᱥ ᱵᱟᱝ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ᱾"
396,इब्रानी परिवार का अधिकांश जीवन खुली हवा में हुआ ।,ᱦᱤᱵᱽᱨᱩ ᱜᱷᱟᱨᱚᱸᱡᱽ ᱨᱤᱱ ᱵᱟᱹᱲᱛᱤ ᱡᱤᱭᱚᱱ ᱡᱷᱤᱡ ᱦᱚᱭ ᱨᱮ ᱛᱟᱦᱮᱸ ᱮᱱᱟ᱾
397,आम तौर पर पत्थरों का इस्तेमाल घरों के निर्माण के लिए किया जाता था ।,ᱟᱭᱳ ᱦᱚᱲ ᱠᱚ ᱨᱟᱪᱟ ᱨᱮ ᱫᱟᱠᱟ ᱠᱚ ᱵᱟᱱᱟᱣ ᱮᱫ ᱛᱟᱦᱮᱱᱟ; ᱥᱴᱳᱨ ᱡᱷᱤᱡ ᱠᱟᱣᱩᱴᱟᱨ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ ᱡᱟᱦᱟᱸ ᱫᱚ ᱧᱮᱞ ᱦᱩᱭᱩᱜ ᱠᱟᱱ ᱛᱟᱦᱮᱱᱟ᱾ ᱚᱲᱟᱜ ᱵᱟᱱᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱫᱷᱤᱨᱤ ᱨᱮᱱᱟᱜ ᱵᱮᱵᱷᱟᱨ ᱦᱩᱭᱩᱜ ᱠᱟᱱ ᱛᱟᱦᱮᱱᱟ᱾
398,"कनान देश में कोई बड़े - बड़े जंगल नहीं थे, इसलिए लकड़ी बहुत महँगी थी ।","ᱠᱟᱱᱟᱰᱟ ᱨᱮᱱᱟᱜ ᱢᱟᱨᱟᱝ ᱵᱤᱨ ᱫᱚ ᱵᱟᱹᱱᱩᱜᱼᱟ, ᱚᱱᱟᱛᱮ ᱠᱟᱴ ᱫᱚ ᱥᱟᱥᱛᱟ ᱜᱮᱭᱟ᱾"
399,"और जब वह पश्‍चिम - पश्‍चिम की ओर जा रहा था, तब उसे ग्रीनलैंड मिला और उसका नाम ग्रीनलैंड रखा गया ।","ᱜᱽᱨᱤᱱᱞᱮᱭᱱᱰ ᱨᱮ ᱟᱹᱰᱤ ᱠᱚᱢ ᱦᱚᱲ ᱠᱚ ᱵᱟᱥᱟ ᱠᱚ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ᱾ ᱱᱟᱹᱨᱥ ᱥᱟᱜᱚᱸ ᱨᱮ ᱩᱱᱠᱩ ᱠᱚ ᱢᱮᱱ ᱮᱫᱼᱟ ᱡᱮ ᱮᱨᱤᱰ ᱫᱽ ᱨᱮᱰ ᱟᱜ ᱜᱚᱡ ᱞᱟᱹᱜᱤᱫ ᱟᱭᱤᱞᱮᱭᱱᱰ ᱠᱷᱚᱱ ᱵᱚᱞᱚ ᱠᱚ ᱛᱟᱦᱮᱸ ᱠᱟᱱᱟ, ᱟᱨ ᱞᱟᱦᱟ ᱯᱟᱪᱮ ᱨᱮᱱᱟᱜ ᱡᱟᱛᱨᱟ ᱚᱠᱛᱮ, ᱜᱽᱨᱤᱱᱞᱮᱭᱱᱰ ᱠᱚ ᱧᱟᱢ ᱠᱮᱫᱼᱟ ᱟᱨ ᱱᱚᱶᱟ ᱨᱮᱱᱟᱜ ᱧᱩᱛᱩᱢ ᱜᱽᱨᱤᱱᱞᱮᱭᱱᱰ ᱠᱚ ᱫᱚᱦᱚ ᱠᱮᱫᱼᱟ᱾"
400,"लेकिन उसकी खोज चाहे जो भी हो, एस्किमो जाति उस समय वहाँ रह रही थी ।","ᱢᱮᱱᱠᱷᱟᱱ ᱚᱱᱟ ᱨᱮᱱᱟᱜ ᱠᱷᱚᱡᱽ ᱵᱮᱜᱚᱨ, ᱩᱱ ᱚᱠᱛᱚ ᱨᱥᱠᱤᱢᱚ ᱡᱟᱱᱡᱟᱹᱛᱤ ᱯᱟᱹᱦᱤᱞ ᱠᱷᱚᱱ ᱜᱮ ᱚᱸᱰᱮ ᱛᱟᱦᱮᱱ ᱠᱟᱱ ᱛᱟᱦᱮᱱᱟ᱾"
