मैं समझता हूँ	ᱤᱧ ᱵᱩᱡᱷᱟᱹᱣ ᱮᱫᱟᱹᱧ
मेरे पास पंद्रह चिड़िया हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱪᱤᱲᱤᱡ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पंद्रह किताब हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱯᱚᱛᱚᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सात अक्षर हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱚᱠᱷᱚᱨ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सात दाल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱫᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मैं इसे ले लूँगा	ᱤᱧ ᱱᱚᱣᱟᱧ ᱦᱟᱛᱟᱣᱟ
मेरे पास पंद्रह सेब हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱥᱮᱯ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱢᱮᱱᱭᱩ, ᱫᱟᱭᱟ ᱠᱟᱛᱮ	कृपया मेनू
मेरे पास सात साँप हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱥᱟᱸᱯ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
बाथरूम कहाँ है?	ᱵᱟᱛᱷᱨᱩᱢ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
मेरे पास सात चिड़िया हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱪᱤᱲᱤᱡ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास छः अमरूद हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱟᱢᱨᱩᱫ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
एक घंटा	ᱢᱤᱫ ᱴᱟᱲᱟᱝ
कृपया धीरे बोलें	ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱵᱟᱹᱭ ᱵᱟᱹᱭ ᱛᱮ ᱨᱚᱲ ᱢᱮ
शुभकामनाएँ	ᱟᱭᱢᱟ ᱥᱟᱨᱦᱟᱣ
मैं सीख रहा हूँ	ᱤᱧ ᱪᱮᱫᱚᱜ ᱠᱟᱱᱟᱹᱧ
ᱤᱧ ᱢᱤᱫ ᱴᱮᱠᱥᱤ ᱞᱟᱹᱠᱛᱤᱭᱟᱹᱧ ᱠᱟᱱᱟ	मुझे टैक्सी चाहिए
ᱤᱧ ᱟᱫ ᱟᱠᱟᱱᱟᱹᱧ	मैं खो गया हूँ
तीन	ᱯᱮ
क्या आप अंग्रेज़ी बोलते हैं?	ᱪᱮᱫ ᱟᱢ ᱤᱝᱨᱟᱡᱤ ᱨᱚᱲ ᱫᱟᱲᱮᱭᱟᱜ ᱠᱟᱱᱟᱢ?
मुझे खेद है	ᱤᱧ ᱤᱠᱟᱹᱧ ᱠᱷᱚᱡᱚᱜ ᱠᱟᱱᱟ
मेरे पास नौ मुर्गी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱟᱨᱮ ᱜᱚᱴᱟᱝ ᱢᱩᱠᱨᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास आठ कॉफ़ी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱤᱨᱟᱹᱞ ᱜᱚᱴᱟᱝ ᱠᱚᱯᱷᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास ग्यारह पानी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱢᱤᱫ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
क्या यह नर्स अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱱᱟᱨᱥ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
बधाई हो	ᱥᱟᱨᱦᱟᱣ ᱦᱩᱭᱩᱜ ᱢᱟ
मेरे पास दस साँप हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱥᱟᱸᱯ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सात बंदर हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱵᱟᱸᱫᱚᱨ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱯᱤᱴᱷᱟᱹ	रोटी
क्या पैदल चलना सुरक्षित है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱛᱟᱲᱟᱢ ᱞᱟᱹᱜᱤᱫ ᱨᱚᱯᱟ ᱜᱮᱭᱟ?
मेरे पास चार पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱩᱱ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास दस बकरी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱵᱚᱠᱨᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
शुभ संध्या	ᱥᱟᱹᱜᱩᱱ ᱥᱤᱸᱜᱟᱹᱲ
चार	ᱯᱩᱱ
ᱱᱩᱭ ᱫᱚ ᱤᱧ ᱨᱮᱱ ᱜᱟᱛᱮ ᱠᱟᱱᱟᱭ	यह मेरा दोस्त है
मेरे पास दस ब्लैकबोर्ड हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱵᱞᱟᱠᱵᱚᱨᱰ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सात अमरूद हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱟᱢᱨᱩᱫ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास तीस पेन हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱯᱮᱱ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास तेरह मुर्गी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱯᱮ ᱜᱚᱴᱟᱝ ᱢᱩᱠᱨᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
अभी	ᱱᱤᱛᱚᱜ
मेरे पास पाँच साँप हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱥᱟᱸᱯ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पाँच मेज़ हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱴᱮᱵᱩᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास अठारह पानी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱤᱨᱟᱹᱞ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पाँच काग़ज़ हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱠᱟᱜᱚᱡᱽ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱤᱧ ᱫᱚ ᱡᱚᱢᱟᱜ ᱠᱷᱚᱱ ᱮᱞᱟᱨᱡᱤ ᱢᱮᱱᱟᱜ ᱛᱤᱧᱟ	मुझे खाने से एलर्जी है
मेरे पास पाँच आम हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱟᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास बीस पाँच पानी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱠᱩᱲᱤ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मैं वहां किस प्रकार पहुंचा?	ᱤᱧ ᱚᱱᱰᱮ ᱪᱤᱠᱟᱹᱛᱮᱧ ᱥᱮᱴᱮᱨᱚᱜᱼᱟ?
मेरे पास सात चाय हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱪᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सत्तर पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास दस नमक हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱱᱩᱱ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मैं बीमार हूँ	ᱤᱧ ᱨᱩᱣᱟᱹ ᱜᱮᱭᱟᱹᱧ
ᱵᱟᱨ	दो
मुझे मदद चाहिए	ᱤᱧ ᱜᱚᱲᱚ ᱞᱟᱹᱠᱛᱤᱭᱟᱹᱧ ᱠᱟᱱᱟ
मदद	ᱜᱚᱲᱚ
मेरे पास दस घोड़ा हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱜᱷᱚᱲᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱤᱧ ᱪᱮᱫᱚᱜ ᱠᱟᱱᱟᱹᱧ	मैं सीख रहा हूँ
मेरे पास दस आम हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱟᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱱᱚᱣᱟ ᱚᱞ ᱢᱮ	कृपया इसे लिख लें
क्या यह खेल अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱠᱷᱮᱞ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
मेरे पास पंद्रह चावल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱪᱟᱣᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
इसका क्या मतलब है?	ᱱᱚᱣᱟ ᱨᱮᱭᱟᱜ ᱢᱮᱱᱮᱛ ᱪᱮᱫ ᱠᱟᱱᱟ?
ᱪᱮᱫ ᱟᱢ ᱠᱨᱮᱰᱤᱴ ᱠᱟᱨᱰ ᱮᱢ ᱟᱝᱜᱚᱪ ᱮᱫᱟ?	क्या आप क्रेडिट कार्ड स्वीकार करते हैं?
मेरे पास पंद्रह चीनी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱪᱤᱱᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास छः अक्षर हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱚᱠᱷᱚᱨ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास बीस तीन मुर्गी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱠᱩᱲᱤ ᱯᱮ ᱜᱚᱴᱟᱝ ᱢᱩᱠᱨᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱚᱱᱟ ᱫᱚᱦᱲᱟᱭ ᱢᱮ	कृपया उसे दोहराएँ
मेरे पास तीस सात पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मुझे एक डॉक्टर की जरूरत है	ᱤᱧ ᱢᱤᱫ ᱰᱟᱠᱴᱚᱨ ᱞᱟᱹᱠᱛᱤᱭᱟᱹᱧ ᱠᱟᱱᱟ
ᱟᱭᱢᱟ ᱥᱟᱨᱦᱟᱣ	बहुत बहुत धन्यवाद
मेरे पास तीस सात हाथी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱦᱟᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सोलह मुर्गी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱢᱩᱠᱨᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
कोई समस्या नहीं	ᱪᱮᱫ ᱦᱚᱸ ᱮᱴᱠᱮᱴᱚᱬᱮ ᱵᱟᱹᱱᱩᱜᱼᱟ
मेरे पास दस कॉफ़ी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱠᱚᱯᱷᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱢᱤᱫ ᱦᱟᱡᱟᱨ	एक हजार
डॉक्टर को बुलाओ	ᱢᱤᱫ ᱰᱟᱠᱴᱚᱨ ᱦᱚᱦᱚᱭᱮᱢ
सुप्रभात	ᱥᱟᱹᱜᱩᱱ ᱥᱮᱛᱟᱜ
ᱡᱷᱤᱡᱽ ᱢᱮ	खुला
मेरे पास सात मछली हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱢᱟᱪᱷᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पाँच पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱟᱢ ᱥᱟᱶ ᱧᱟᱯᱟᱢ ᱠᱟᱛᱮ ᱠᱩᱥᱤ ᱮᱱᱟᱹᱧ	आपसे मिलकर अच्छा लगा
मेरे पास छः तेल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱛᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱤᱧ ᱴᱷᱤᱠ ᱜᱮᱭᱟᱹᱧ, ᱟᱭᱢᱟ ᱥᱟᱨᱦᱟᱣ	मैं ठीक हूँ, धन्यवाद
बाद में मिलते हैं	ᱛᱟᱭᱚᱢ ᱛᱮ ᱞᱟᱝ ᱧᱟᱯᱟᱢᱚᱜᱼᱟ
मेरे पास दस पानी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सात केला हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱠᱮᱞᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱟᱭᱢᱟ ᱥᱟᱨᱦᱟᱣ	शुभकामनाएँ
छह	ᱛᱩᱨᱩᱭ
मेरे पास चार मुर्गी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱩᱱ ᱜᱚᱴᱟᱝ ᱢᱩᱠᱨᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पाँच दाल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱫᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सात मेज़ हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱴᱮᱵᱩᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱟᱢᱟᱜ ᱥᱟᱹᱜᱩᱱ ᱫᱟᱨᱟᱢ	आपका स्वागत है
ᱦᱚᱥᱯᱤᱴᱟᱞ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?	अस्पताल कहाँ है?
मेरे पास सात सब्ज़ी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱥᱚᱵᱽᱡᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱱᱚᱶᱟ ᱫᱚ ᱥᱟᱝᱜᱤᱧ ᱜᱮᱭᱟ	यह दूर है
मेरे पास चौदह कॉफ़ी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱯᱩᱱ ᱜᱚᱴᱟᱝ ᱠᱚᱯᱷᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सात नमक हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱱᱩᱱ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱪᱮᱫ ᱟᱢ ᱤᱝᱨᱟᱡᱤ ᱨᱚᱲ ᱫᱟᱲᱮᱭᱟᱜ ᱠᱟᱱᱟᱢ?	क्या आप अंग्रेज़ी बोलते हैं?
मेरे पास आठ पेन हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱤᱨᱟᱹᱞ ᱜᱚᱴᱟᱝ ᱯᱮᱱ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
आपका स्वागत है	ᱟᱢᱟᱜ ᱥᱟᱹᱜᱩᱱ ᱫᱟᱨᱟᱢ
मैं मांस नहीं खाता	ᱤᱧ ᱡᱤᱞ ᱵᱟᱹᱧ ᱡᱚᱢ ᱮᱫᱟ
मेरे पास दस मुर्गी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱢᱩᱠᱨᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास दस केला हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱠᱮᱞᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सात ब्लैकबोर्ड हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱵᱞᱟᱠᱵᱚᱨᱰ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास चौदह पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱯᱩᱱ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास तीस दो पानी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱮ ᱜᱮᱞ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
क्या आप क्रेडिट कार्ड स्वीकार करते हैं?	ᱪᱮᱫ ᱟᱢ ᱠᱨᱮᱰᱤᱴ ᱠᱟᱨᱰ ᱮᱢ ᱟᱝᱜᱚᱪ ᱮᱫᱟ?
कृपया मेनू	ᱢᱮᱱᱭᱩ, ᱫᱟᱭᱟ ᱠᱟᱛᱮ
मेरे पास छः नारियल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱱᱟᱨᱤᱭᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱪᱮᱫ ᱦᱚᱸ ᱮᱴᱠᱮᱴᱚᱬᱮ ᱵᱟᱹᱱᱩᱜᱼᱟ	कोई समस्या नहीं
मेरे पास पंद्रह नारियल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱱᱟᱨᱤᱭᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास दस चावल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱪᱟᱣᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱵᱟᱡᱟᱨ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?	बाज़ार कहाँ है?
मुझे नहीं पता	ᱮᱧ ᱫᱚ ᱵᱟᱝ ᱤᱧ ᱵᱟᱰᱟᱭᱟ
ᱢᱤᱫ ᱰᱟᱠᱴᱚᱨ ᱦᱚᱦᱚᱭᱮᱢ	डॉक्टर को बुलाओ
मेरे पास दस सेब हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱥᱮᱯ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास चार पेन हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱩᱱ ᱜᱚᱴᱟᱝ ᱯᱮᱱ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पंद्रह चाँद हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱪᱟᱸᱫᱚ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
कृपया उसे दोहराएँ	ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱚᱱᱟ ᱫᱚᱦᱲᱟᱭ ᱢᱮ
हवाई अड्डा कहाँ है?	ᱮᱭᱟᱨᱯᱚᱨᱴ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
ᱤᱠᱟᱹ ᱠᱟᱹᱧ ᱢᱮ	क्षमा करें
ᱥᱟᱨᱦᱟᱣ ᱦᱩᱭᱩᱜ ᱢᱟ	बधाई हो
मेरे पास पाँच मछली हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱢᱟᱪᱷᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पाँच अमरूद हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱟᱢᱨᱩᱫ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
यह स्वादिष्ट है	ᱱᱚᱣᱟ ᱫᱚ ᱥᱤᱵᱤᱞ ᱜᱮᱭᱟ
मेरे पास पाँच सब्ज़ी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱥᱚᱵᱽᱡᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पाँच चावल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱪᱟᱣᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
ᱥᱤᱫᱷᱟᱹ ᱞᱟᱦᱟ ᱥᱮᱱᱚᱜ ᱢᱮ	सीधे आगे बढ़ें
मेरे पास चार पानी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱩᱱ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
कल	ᱜᱟᱯᱟ
क्या यह दोस्त अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱜᱟᱛᱮ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
ᱥᱟᱹᱜᱩᱱ ᱫᱟᱨᱟᱢ	स्वागत है
क्या यह नदी अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱱᱟᱹᱭ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
क्या यह पेंसिल अच्छा है?	ᱪᱮᱫ ᱱᱚᱣᱟ ᱯᱮᱱᱥᱤᱞ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ?
ᱵᱚᱞᱚᱱ ᱰᱟᱦᱟᱨ	प्रवेश
मेरे पास सोलह पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पंद्रह तेल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱛᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
नहीं	ᱵᱟᱝ
मेरे पास दस पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पंद्रह शब्द हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱥᱚᱵᱚᱫ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
एक हजार	ᱢᱤᱫ ᱦᱟᱡᱟᱨ
मेरे पास सात चीनी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱪᱤᱱᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
