demo0001	यह नीला फर्श है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱚᱛ ᱠᱟᱱᱟ।
demo0187	यह पुराना शब्द है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱥᱚᱵᱚᱫ ᱠᱟᱱᱟ।
demo0188	यह अच्छा कक्षा है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱠᱞᱟᱥ ᱠᱟᱱᱟ।
demo0189	यह अच्छा प्रश्न है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱠᱩᱞᱤ ᱠᱟᱱᱟ।
demo0190	यह छोटा पाठ है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱯᱟᱴᱷ ᱠᱟᱱᱟ।
demo0191	यह पीला चित्र है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱪᱤᱛᱟᱹᱨ ᱠᱟᱱᱟ।
demo0192	यह पुराना मेज़ है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱴᱮᱵᱩᱞ ᱠᱟᱱᱟ।
demo0193	यह पीला घंटी है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱜᱷᱟᱱᱴᱤ ᱠᱟᱱᱟ।
demo0194	यह सफ़ेद इतिहास है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱱᱟᱜᱟᱢ ᱠᱟᱱᱟ।
demo0195	यह हरा अध्यापक है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱢᱟᱪᱮᱫ ᱠᱟᱱᱟ।
demo0196	मेरे पास पाठ है।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱟᱴᱷ ᱢᱮᱱᱟᱜᱼᱟ।
demo0197	यह सफ़ेद शिक्षक है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱥᱟᱦᱟᱸ ᱠᱟᱱᱟ।
demo0198	यह पीला पेंसिल है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱯᱮᱱᱥᱤᱞ ᱠᱟᱱᱟ।
demo0199	यह लाल मैदान है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱢᱟᱭᱫᱟᱱ ᱠᱟᱱᱟ।
demo0200	यह छोटा स्लेट है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱥᱞᱮᱴ ᱠᱟᱱᱟ।
demo0201	यह काला कुर्सी है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱠᱩᱨᱥᱤ ᱠᱟᱱᱟ।
demo0202	यह पुराना अक्षर है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱚᱠᱷᱚᱨ ᱠᱟᱱᱟ।
demo0203	यह पुराना दीवार है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱫᱮᱣᱟᱞ ᱠᱟᱱᱟ।
demo0204	यह छोटा प्रश्न है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱠᱩᱞᱤ ᱠᱟᱱᱟ।
demo0205	यह हरा घड़ी है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱜᱷᱟᱲᱤ ᱠᱟᱱᱟ।
demo0206	यह काला अक्षर है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱚᱠᱷᱚᱨ ᱠᱟᱱᱟ।
demo0207	यह अच्छा स्कूल है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱥᱠᱩᱞ ᱠᱟᱱᱟ।
demo0208	यह काला अध्यापक है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱢᱟᱪᱮᱫ ᱠᱟᱱᱟ।
demo0209	यह बस्ता अच्छा है।	ᱱᱚᱣᱟ ᱵᱟᱹᱜ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0210	यह अच्छा स्लेट है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱥᱞᱮᱴ ᱠᱟᱱᱟ।
demo0211	यह नया किताब है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱯᱚᱛᱚᱢ ᱠᱟᱱᱟ।
demo0212	शिक्षक ने पेन दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱯᱮᱱ ᱮᱢ ᱠᱮᱫᱟ।
demo0213	यह लाल काग़ज़ है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱠᱟᱜᱚᱡᱽ ᱠᱟᱱᱟ।
demo0214	यह सफ़ेद दीवार है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱫᱮᱣᱟᱞ ᱠᱟᱱᱟ।
demo0215	यह नीला डस्टर है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱰᱟᱥᱴᱟᱨ ᱠᱟᱱᱟ।
demo0216	यह सफ़ेद घड़ी है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱜᱷᱟᱲᱤ ᱠᱟᱱᱟ।
demo0217	यह नया अध्यापक है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱢᱟᱪᱮᱫ ᱠᱟᱱᱟ।
demo0218	यह सफ़ेद गणित है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱮᱞᱠᱷᱟ ᱠᱟᱱᱟ।
demo0219	यह पीला खिड़की है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱡᱷᱚᱨᱠᱟ ᱠᱟᱱᱟ।
demo0220	यह नया विज्ञान है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱥᱟᱬᱮᱥ ᱠᱟᱱᱟ।
demo0221	कक्षा में स्लेट है।	ᱠᱞᱟᱥ ᱨᱮ ᱥᱞᱮᱴ ᱢᱮᱱᱟᱜᱼᱟ।
demo0222	यह सफ़ेद कुर्सी है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱠᱩᱨᱥᱤ ᱠᱟᱱᱟ।
demo0223	यह नया शब्द है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱥᱚᱵᱚᱫ ᱠᱟᱱᱟ।
demo0224	यह कक्षा अच्छा है।	ᱱᱚᱣᱟ ᱠᱞᱟᱥ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0225	यह नया दीवार है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱫᱮᱣᱟᱞ ᱠᱟᱱᱟ।
demo0226	कक्षा में प्रश्न है।	ᱠᱞᱟᱥ ᱨᱮ ᱠᱩᱞᱤ ᱢᱮᱱᱟᱜᱼᱟ।
demo0227	यह पुराना कलम है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱠᱟᱞᱟᱢ ᱠᱟᱱᱟ।
demo0228	यह लाल खिड़की है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱡᱷᱚᱨᱠᱟ ᱠᱟᱱᱟ।
demo0229	मेरे पास बस्ता है।	ᱤᱧ ᱴᱷᱮᱱ ᱵᱟᱹᱜ ᱢᱮᱱᱟᱜᱼᱟ।
demo0230	यह छोटा स्कूल है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱥᱠᱩᱞ ᱠᱟᱱᱟ।
demo0231	यह लाल कविता है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱚᱱᱚᱬᱦᱮ ᱠᱟᱱᱟ।
demo0232	यह पीला डस्टर है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱰᱟᱥᱴᱟᱨ ᱠᱟᱱᱟ।
demo0233	यह हरा शिक्षक है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱥᱟᱦᱟᱸ ᱠᱟᱱᱟ।
demo0234	यह नया घड़ी है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱜᱷᱟᱲᱤ ᱠᱟᱱᱟ।
demo0235	कविता कहाँ है?	ᱚᱱᱚᱬᱦᱮ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0236	यह लाल अध्याय है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱟᱫᱷᱭᱟᱭ ᱠᱟᱱᱟ।
demo0237	यह खेल अच्छा है।	ᱱᱚᱣᱟ ᱠᱷᱮᱞ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0238	यह पुराना गणित है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱮᱞᱠᱷᱟ ᱠᱟᱱᱟ।
demo0239	यह पीला मैदान है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱢᱟᱭᱫᱟᱱ ᱠᱟᱱᱟ।
demo0240	यह अच्छा खेल है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱠᱷᱮᱞ ᱠᱟᱱᱟ।
demo0241	यह हरा इतिहास है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱱᱟᱜᱟᱢ ᱠᱟᱱᱟ।
demo0242	यह पीला कहानी है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱠᱟᱹᱦᱱᱤ ᱠᱟᱱᱟ।
demo0243	यह नीला खिड़की है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱡᱷᱚᱨᱠᱟ ᱠᱟᱱᱟ।
demo0244	यह अच्छा बस्ता है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱵᱟᱹᱜ ᱠᱟᱱᱟ।
demo0245	यह पीला अध्याय है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱟᱫᱷᱭᱟᱭ ᱠᱟᱱᱟ।
demo0246	यह काला किताब है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱯᱚᱛᱚᱢ ᱠᱟᱱᱟ।
demo0247	यह काला नक्शा है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱱᱚᱠᱥᱟ ᱠᱟᱱᱟ।
demo0248	यह हरा अक्षर है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱚᱠᱷᱚᱨ ᱠᱟᱱᱟ।
demo0249	यह नीला पेंसिल है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱯᱮᱱᱥᱤᱞ ᱠᱟᱱᱟ।
demo0250	मेरे पास स्लेट है।	ᱤᱧ ᱴᱷᱮᱱ ᱥᱞᱮᱴ ᱢᱮᱱᱟᱜᱼᱟ।
demo0251	अध्याय कहाँ है?	ᱟᱫᱷᱭᱟᱭ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0252	मेरे पास प्रश्न है।	ᱤᱧ ᱴᱷᱮᱱ ᱠᱩᱞᱤ ᱢᱮᱱᱟᱜᱼᱟ।
demo0253	यह लाल घंटी है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱜᱷᱟᱱᱴᱤ ᱠᱟᱱᱟ।
demo0254	यह हरा दीवार है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱫᱮᱣᱟᱞ ᱠᱟᱱᱟ।
demo0255	यह नीला घंटी है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱜᱷᱟᱱᱴᱤ ᱠᱟᱱᱟ।
demo0256	मैदान कहाँ है?	ᱢᱟᱭᱫᱟᱱ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0257	यह नीला कविता है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱚᱱᱚᱬᱦᱮ ᱠᱟᱱᱟ।
demo0258	वह एक पेन है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱯᱮᱱ ᱠᱟᱱᱟ।
demo0259	यह लाल दरवाज़ा है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱫᱩᱣᱟᱹᱨ ᱠᱟᱱᱟ।
demo0260	यह सफ़ेद विज्ञान है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱥᱟᱬᱮᱥ ᱠᱟᱱᱟ।
demo0261	यह नीला मैदान है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱢᱟᱭᱫᱟᱱ ᱠᱟᱱᱟ।
demo0262	यह नया कुर्सी है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱠᱩᱨᱥᱤ ᱠᱟᱱᱟ।
demo0263	काग़ज़ कहाँ है?	ᱠᱟᱜᱚᱡᱽ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0264	वह एक चॉक है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱪᱟᱠ ᱠᱟᱱᱟ।
demo0265	यह पुराना घड़ी है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱜᱷᱟᱲᱤ ᱠᱟᱱᱟ।
demo0266	यह सफ़ेद शब्द है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱥᱚᱵᱚᱫ ᱠᱟᱱᱟ।
demo0267	यह पीला कविता है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱚᱱᱚᱬᱦᱮ ᱠᱟᱱᱟ।
demo0268	यह हरा गणित है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱮᱞᱠᱷᱟ ᱠᱟᱱᱟ।
demo0269	यह पुराना इतिहास है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱱᱟᱜᱟᱢ ᱠᱟᱱᱟ।
demo0270	यह प्रश्न अच्छा है।	ᱱᱚᱣᱟ ᱠᱩᱞᱤ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0271	यह पीला काग़ज़ है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱠᱟᱜᱚᱡᱽ ᱠᱟᱱᱟ।
demo0272	मेरे पास खेल है।	ᱤᱧ ᱴᱷᱮᱱ ᱠᱷᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ।
demo0273	यह पुराना नक्शा है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱱᱚᱠᱥᱟ ᱠᱟᱱᱟ।
demo0274	यह नया कलम है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱠᱟᱞᱟᱢ ᱠᱟᱱᱟ।
demo0275	डस्टर कहाँ है?	ᱰᱟᱥᱴᱟᱨ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0276	यह सफ़ेद अक्षर है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱚᱠᱷᱚᱨ ᱠᱟᱱᱟ।
demo0277	कक्षा में स्कूल है।	ᱠᱞᱟᱥ ᱨᱮ ᱥᱠᱩᱞ ᱢᱮᱱᱟᱜᱼᱟ।
demo0278	यह पुराना विज्ञान है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱥᱟᱬᱮᱥ ᱠᱟᱱᱟ।
demo0279	यह नया इतिहास है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱱᱟᱜᱟᱢ ᱠᱟᱱᱟ।
demo0280	यह नया शिक्षक है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱥᱟᱦᱟᱸ ᱠᱟᱱᱟ।
demo0281	चित्र कहाँ है?	ᱪᱤᱛᱟᱹᱨ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0282	यह नया गणित है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱮᱞᱠᱷᱟ ᱠᱟᱱᱟ।
demo0283	यह हरा किताब है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱯᱚᱛᱚᱢ ᱠᱟᱱᱟ।
demo0284	यह काला घड़ी है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱜᱷᱟᱲᱤ ᱠᱟᱱᱟ।
demo0285	मेरे पास कक्षा है।	ᱤᱧ ᱴᱷᱮᱱ ᱠᱞᱟᱥ ᱢᱮᱱᱟᱜᱼᱟ।
demo0286	यह लाल कहानी है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱠᱟᱹᱦᱱᱤ ᱠᱟᱱᱟ।
demo0287	यह काला विज्ञान है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱥᱟᱬᱮᱥ ᱠᱟᱱᱟ।
demo0288	यह हरा कलम है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱠᱟᱞᱟᱢ ᱠᱟᱱᱟ।
demo0289	कक्षा में खेल है।	ᱠᱞᱟᱥ ᱨᱮ ᱠᱷᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ।
demo0290	खिड़की कहाँ है?	ᱡᱷᱚᱨᱠᱟ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0291	यह सफ़ेद मेज़ है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱴᱮᱵᱩᱞ ᱠᱟᱱᱟ।
demo0292	यह हरा विज्ञान है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱥᱟᱬᱮᱥ ᱠᱟᱱᱟ।
demo0293	यह काला कलम है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱠᱟᱞᱟᱢ ᱠᱟᱱᱟ।
demo0294	मेरे पास स्कूल है।	ᱤᱧ ᱴᱷᱮᱱ ᱥᱠᱩᱞ ᱢᱮᱱᱟᱜᱼᱟ।
demo0295	यह हरा शब्द है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱥᱚᱵᱚᱫ ᱠᱟᱱᱟ।
demo0296	यह नया अक्षर है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱚᱠᱷᱚᱨ ᱠᱟᱱᱟ।
demo0297	घंटी कहाँ है?	ᱜᱷᱟᱱᱴᱤ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0298	यह हरा नक्शा है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱱᱚᱠᱥᱟ ᱠᱟᱱᱟ।
demo0299	पेंसिल कहाँ है?	ᱯᱮᱱᱥᱤᱞ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0300	यह एक पेन है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱯᱮᱱ ᱠᱟᱱᱟ।
demo0301	मेरे पास उत्तर है।	ᱤᱧ ᱴᱷᱮᱱ ᱛᱮᱞᱟ ᱢᱮᱱᱟᱜᱼᱟ।
demo0302	यह काला गणित है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱮᱞᱠᱷᱟ ᱠᱟᱱᱟ।
demo0303	यह छोटा खेल है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱠᱷᱮᱞ ᱠᱟᱱᱟ।
demo0304	यह पुराना कुर्सी है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱠᱩᱨᱥᱤ ᱠᱟᱱᱟ।
demo0305	यह पुराना अध्यापक है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱢᱟᱪᱮᱫ ᱠᱟᱱᱟ।
demo0306	यह पुराना किताब है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱯᱚᱛᱚᱢ ᱠᱟᱱᱟ।
demo0307	दरवाज़ा कहाँ है?	ᱫᱩᱣᱟᱹᱨ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0308	यह नीला दरवाज़ा है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱫᱩᱣᱟᱹᱨ ᱠᱟᱱᱟ।
demo0309	यह स्कूल अच्छा है।	ᱱᱚᱣᱟ ᱥᱠᱩᱞ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0310	यह छोटा उत्तर है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱛᱮᱞᱟ ᱠᱟᱱᱟ।
demo0311	कक्षा में बस्ता है।	ᱠᱞᱟᱥ ᱨᱮ ᱵᱟᱹᱜ ᱢᱮᱱᱟᱜᱼᱟ।
demo0312	यह लाल डस्टर है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱰᱟᱥᱴᱟᱨ ᱠᱟᱱᱟ।
demo0313	यह उत्तर अच्छा है।	ᱱᱚᱣᱟ ᱛᱮᱞᱟ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0314	यह नया मेज़ है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱴᱮᱵᱩᱞ ᱠᱟᱱᱟ।
demo0315	यह नया नक्शा है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱱᱚᱠᱥᱟ ᱠᱟᱱᱟ।
demo0316	कक्षा में कक्षा है।	ᱠᱞᱟᱥ ᱨᱮ ᱠᱞᱟᱥ ᱢᱮᱱᱟᱜᱼᱟ।
demo0317	यह हरा कुर्सी है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱠᱩᱨᱥᱤ ᱠᱟᱱᱟ।
demo0318	यह अच्छा पाठ है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱯᱟᱴᱷ ᱠᱟᱱᱟ।
demo0319	शिक्षक ने चॉक दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱪᱟᱠ ᱮᱢ ᱠᱮᱫᱟ।
demo0320	यह एक चॉक है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱪᱟᱠ ᱠᱟᱱᱟ।
demo0321	यह पुराना शिक्षक है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱥᱟᱦᱟᱸ ᱠᱟᱱᱟ।
demo0322	यह लाल चित्र है।	ᱱᱚᱣᱟ ᱞᱟᱞ ᱪᱤᱛᱟᱹᱨ ᱠᱟᱱᱟ।
demo0323	यह पाठ अच्छा है।	ᱱᱚᱣᱟ ᱯᱟᱴᱷ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0324	यह नीला अध्याय है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱟᱫᱷᱭᱟᱭ ᱠᱟᱱᱟ।
demo0325	कक्षा में उत्तर है।	ᱠᱞᱟᱥ ᱨᱮ ᱛᱮᱞᱟ ᱢᱮᱱᱟᱜᱼᱟ।
demo0326	यह छोटा बस्ता है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱵᱟᱹᱜ ᱠᱟᱱᱟ।
demo0327	यह काला इतिहास है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱱᱟᱜᱟᱢ ᱠᱟᱱᱟ।
demo0328	कक्षा में पाठ है।	ᱠᱞᱟᱥ ᱨᱮ ᱯᱟᱴᱷ ᱢᱮᱱᱟᱜᱼᱟ।
demo0329	यह काला शिक्षक है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱥᱟᱦᱟᱸ ᱠᱟᱱᱟ।
demo0330	यह सफ़ेद अध्यापक है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱢᱟᱪᱮᱫ ᱠᱟᱱᱟ।
demo0331	यह सफ़ेद कलम है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱠᱟᱞᱟᱢ ᱠᱟᱱᱟ।
demo0332	कहानी कहाँ है?	ᱠᱟᱹᱦᱱᱤ ᱚᱠᱟᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ?
demo0333	यह पीला दरवाज़ा है।	ᱱᱚᱣᱟ ᱯᱤᱞ ᱫᱩᱣᱟᱹᱨ ᱠᱟᱱᱟ।
demo0334	यह छोटा अक्षर है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱚᱠᱷᱚᱨ ᱠᱟᱱᱟ।
demo0335	कक्षा में कुर्सी है।	ᱠᱞᱟᱥ ᱨᱮ ᱠᱩᱨᱥᱤ ᱢᱮᱱᱟᱜᱼᱟ।
demo0336	यह सफ़ेद चित्र है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱪᱤᱛᱟᱹᱨ ᱠᱟᱱᱟ।
demo0337	शिक्षक ने पाठ दिया।	ᱢᱟᱪᱮᱫ ᱫᱚ ᱯᱟᱴᱷ ᱮᱢ ᱠᱮᱫᱟ।
demo0338	यह छोटा गणित है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱮᱞᱠᱷᱟ ᱠᱟᱱᱟ।
demo0339	मेरे पास दीवार है।	ᱤᱧ ᱴᱷᱮᱱ ᱫᱮᱣᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ।
demo0340	यह काला कहानी है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱠᱟᱹᱦᱱᱤ ᱠᱟᱱᱟ।
demo0341	यह नया खिड़की है।	ᱱᱚᱣᱟ ᱱᱟᱣᱟ ᱡᱷᱚᱨᱠᱟ ᱠᱟᱱᱟ।
demo0342	कक्षा में इतिहास है।	ᱠᱞᱟᱥ ᱨᱮ ᱱᱟᱜᱟᱢ ᱢᱮᱱᱟᱜᱼᱟ।
demo0343	मेरे पास गणित है।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱞᱠᱷᱟ ᱢᱮᱱᱟᱜᱼᱟ।
demo0344	यह अच्छा घड़ी है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱜᱷᱟᱲᱤ ᱠᱟᱱᱟ।
demo0345	यह शिक्षक अच्छा है।	ᱱᱚᱣᱟ ᱥᱟᱦᱟᱸ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0346	यह शब्द अच्छा है।	ᱱᱚᱣᱟ ᱥᱚᱵᱚᱫ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0347	यह पुराना डस्टर है।	ᱱᱚᱣᱟ ᱢᱟᱨᱮ ᱰᱟᱥᱴᱟᱨ ᱠᱟᱱᱟ।
demo0348	यह नीला अभ्यास है।	ᱱᱚᱣᱟ ᱱᱤᱞ ᱟᱹᱵᱷᱭᱟᱥ ᱠᱟᱱᱟ।
demo0349	यह सफ़ेद कहानी है।	ᱱᱚᱣᱟ ᱫᱟᱹᱲ ᱠᱟᱹᱦᱱᱤ ᱠᱟᱱᱟ।
demo0350	यह हरा मैदान है।	ᱱᱚᱣᱟ ᱦᱟᱨᱟ ᱢᱟᱭᱫᱟᱱ ᱠᱟᱱᱟ।
demo0351	यह छोटा मेज़ है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱴᱮᱵᱩᱞ ᱠᱟᱱᱟ।
demo0352	यह एक स्लेट है।	ᱱᱚᱣᱟ ᱫᱚ ᱢᱤᱫ ᱥᱞᱮᱴ ᱠᱟᱱᱟ।
demo0353	यह दीवार अच्छा है।	ᱱᱚᱣᱟ ᱫᱮᱣᱟᱞ ᱱᱟᱯᱟᱭ ᱜᱮᱭᱟ।
demo0354	कक्षा में दीवार है।	ᱠᱞᱟᱥ ᱨᱮ ᱫᱮᱣᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ।
demo0355	यह छोटा शिक्षक है।	ᱱᱚᱣᱟ ᱦᱩᱰᱤᱧ ᱥᱟᱦᱟᱸ ᱠᱟᱱᱟ।
demo0356	यह अच्छा इतिहास है।	ᱱᱚᱣᱟ ᱱᱟᱯᱟᱭ ᱱᱟᱜᱟᱢ ᱠᱟᱱᱟ।
demo0357	वह एक स्कूल है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫ ᱥᱠᱩᱞ ᱠᱟᱱᱟ।
demo0358	यह काला खिड़की है।	ᱱᱚᱣᱟ ᱠᱟᱞᱟ ᱡᱷᱚᱨᱠᱟ ᱠᱟᱱᱟ।
demo0359	मेरे पास शिक्षक है।	ᱤᱧ ᱴᱷᱮᱱ ᱥᱟᱦᱟᱸ ᱢᱮᱱᱟᱜᱼᱟ।
demo0360	मेरे पास किताब है।	ᱤᱧ ᱴᱷᱮᱱ ᱯᱚᱛᱚᱢ ᱢᱮᱱᱟᱜᱼᱟ।
