एक	ᱢᱤᱫ
मेरे पास तिहत्तर पानी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱮᱞ ᱯᱮ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास चौहत्तर पक्षी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱮᱞ ᱯᱳᱱ ᱜᱚᱴᱟᱝ ᱪᱤᱲᱤᱡ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पचहत्तर मुर्गी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱢᱩᱠᱨᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास छियत्तर हाथी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱮᱞ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱦᱟᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सतहत्तर घोड़ा हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱜᱷᱚᱲᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास अठहत्तर चावल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱮᱞ ᱟᱨ ᱜᱚᱴᱟᱝ ᱪᱟᱣᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास उनासी शब्द हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱮᱭᱟᱭ ᱜᱮᱞ ᱱᱟᱭ ᱜᱚᱴᱟᱝ ᱥᱚᱵᱚᱫ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास अस्सी फल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱟᱨ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱯᱟᱹᱨᱟᱹ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास इक्यासी किताब हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱟᱨ ᱜᱮᱞ ᱢᱤᱫ ᱜᱚᱴᱟᱝ ᱠᱤᱛᱟᱯ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास बयासी पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱟᱨ ᱜᱮᱞ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास तिरासी सेब हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱟᱨ ᱜᱮᱞ ᱯᱮ ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास चौरासी केला हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱟᱨ ᱜᱮᱞ ᱯᱳᱱ ᱜᱚᱴᱟᱝ ᱠᱮᱞᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पचासी आम हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱟᱨ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱟᱢ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास छियासी बच्चा हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱟᱨ ᱜᱮᱞ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱜᱤᱫᱽᱨᱟᱹ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सतासी कुर्सी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱟᱨ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱠᱩᱨᱥᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास अट्ठासी रुपया हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱟᱨ ᱜᱮᱞ ᱟᱨ ᱜᱚᱴᱟᱝ ᱯᱟᱹᱲᱯᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास नवासी पानी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱟᱨ ᱜᱮᱞ ᱱᱟᱭ ᱜᱚᱴᱟᱝ ᱫᱟᱜ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास नब्बे पक्षी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱱᱟᱭ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱪᱤᱲᱤᱡ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास इक्यानवे मुर्गी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱱᱟᱭ ᱜᱮᱞ ᱢᱤᱫ ᱜᱚᱴᱟᱝ ᱢᱩᱠᱨᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास बानवे हाथी हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱱᱟᱭ ᱜᱮᱞ ᱵᱟᱨ ᱜᱚᱴᱟᱝ ᱦᱟᱛᱤ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास तिरानवे घोड़ा हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱱᱟᱭ ᱜᱮᱞ ᱯᱮ ᱜᱚᱴᱟᱝ ᱜᱷᱚᱲᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास चौरानवे चावल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱱᱟᱭ ᱜᱮᱞ ᱯᱳᱱ ᱜᱚᱴᱟᱝ ᱪᱟᱣᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास पचानवे शब्द हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱱᱟᱭ ᱜᱮᱞ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱥᱚᱵᱚᱫ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास छियानवे फल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱱᱟᱭ ᱜᱮᱞ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱯᱟᱹᱨᱟᱹ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सत्तानवे किताब हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱱᱟᱭ ᱜᱮᱞ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱠᱤᱛᱟᱯ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास अट्ठानवे पेंसिल हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱱᱟᱭ ᱜᱮᱞ ᱟᱨ ᱜᱚᱴᱟᱝ ᱯᱮᱱᱥᱤᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास निन्यानवे सेब हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱱᱟᱭ ᱜᱮᱞ ᱱᱟᱭ ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
मेरे पास सौ केला हैं।	ᱤᱧ ᱴᱷᱮᱱ ᱥᱟᱭ ᱜᱚᱴᱟᱝ ᱠᱮᱞᱟ ᱢᱮᱱᱟᱜᱼᱟ ᱠᱚᱣᱟ।
एक, दो, तीन, चार, पाँच, छः, सात, आठ, नौ, दस।	ᱢᱤᱫ, ᱵᱟᱨ, ᱯᱮ, ᱯᱳᱱ, ᱢᱚᱬᱮ, ᱛᱩᱨᱩᱭ, ᱮᱭᱟᱭ, ᱟᱨ, ᱱᱟᱭ, ᱜᱮᱞ।
ग्यारह, बारह, तेरह, चौदह, पंद्रह, सोलह, सत्रह, अट्ठारह, उन्नीस, बीस।	ᱜᱮᱞ ᱢᱤᱫ, ᱜᱮᱞ ᱵᱟᱨ, ᱜᱮᱞ ᱯᱮ, ᱜᱮᱞ ᱯᱳᱱ, ᱜᱮᱞ ᱢᱚᱬᱮ, ᱜᱮᱞ ᱛᱩᱨᱩᱭ, ᱜᱮᱞ ᱮᱭᱟᱭ, ᱜᱮᱞ ᱟᱨ, ᱜᱮᱞ ᱱᱟᱭ, ᱠᱩᱲᱤ।
गिनती: एक।	ᱞᱮᱠᱷᱟ: ᱢᱤᱫ।
गिनती: दो।	ᱞᱮᱠᱷᱟ: ᱵᱟᱨ।
गिनती: तीन।	ᱞᱮᱠᱷᱟ: ᱯᱮ।
गिनती: चार।	ᱞᱮᱠᱷᱟ: ᱯᱳᱱ।
गिनती: पाँच।	ᱞᱮᱠᱷᱟ: ᱢᱚᱬᱮ।
गिनती: छः।	ᱞᱮᱠᱷᱟ: ᱛᱩᱨᱩᱭ।
गिनती: सात।	ᱞᱮᱠᱷᱟ: ᱮᱭᱟᱭ।
गिनती: आठ।	ᱞᱮᱠᱷᱟ: ᱟᱨ।
गिनती: नौ।	ᱞᱮᱠᱷᱟ: ᱱᱟᱭ।
गिनती: दस।	ᱞᱮᱠᱷᱟ: ᱜᱮᱞ।
गिनती: ग्यारह।	ᱞᱮᱠᱷᱟ: ᱜᱮᱞ ᱢᱤᱫ।
गिनती: बारह।	ᱞᱮᱠᱷᱟ: ᱜᱮᱞ ᱵᱟᱨ।
गिनती: तेरह।	ᱞᱮᱠᱷᱟ: ᱜᱮᱞ ᱯᱮ।
गिनती: चौदह।	ᱞᱮᱠᱷᱟ: ᱜᱮᱞ ᱯᱳᱱ।
गिनती: पंद्रह।	ᱞᱮᱠᱷᱟ: ᱜᱮᱞ ᱢᱚᱬᱮ।
गिनती: सोलह।	ᱞᱮᱠᱷᱟ: ᱜᱮᱞ ᱛᱩᱨᱩᱭ।
गिनती: सत्रह।	ᱞᱮᱠᱷᱟ: ᱜᱮᱞ ᱮᱭᱟᱭ।
गिनती: अट्ठारह।	ᱞᱮᱠᱷᱟ: ᱜᱮᱞ ᱟᱨ।
गिनती: उन्नीस।	ᱞᱮᱠᱷᱟ: ᱜᱮᱞ ᱱᱟᱭ।
गिनती: बीस।	ᱞᱮᱠᱷᱟ: ᱠᱩᱲᱤ।
गिनती: तीस।	ᱞᱮᱠᱷᱟ: ᱯᱮ ᱜᱮᱞ।
गिनती: पचास।	ᱞᱮᱠᱷᱟ: ᱢᱚᱬᱮ ᱜᱮᱞ।
गिनती: सौ।	ᱞᱮᱠᱷᱟ: ᱥᱟᱭ।
