बंदर खा रहा है।	ᱢᱟᱱᱠᱨᱤ ᱫᱚ ᱠᱷᱟᱱ ᱠᱟᱱᱟ ᱾
बंदर सो रहा है।	ᱢᱟᱱᱠᱨᱤ ᱫᱚ ᱥᱩᱲᱤ ᱠᱟᱱᱟ ᱾
बंदर पढ़ रहा है।	ᱢᱟᱱᱠᱨᱤ ᱫᱚ ᱯᱟᱲᱦᱟᱣ ᱟᱠᱟᱫᱟᱭ ᱾
बंदर गा रहा है।	ᱢᱟᱱᱠᱨᱤ ᱫᱚ ᱥᱮᱨᱮᱧ ᱟᱠᱟᱫᱟᱭ ᱾
हैलो, बच्चे।	ᱦᱚᱞᱮ ᱜᱤᱫᱽᱨᱟᱹᱠᱚ ᱾
आज के सबक की शुरुआत करें।	ᱛᱮᱦᱮᱧ ᱨᱮᱭᱟᱜ ᱥᱮᱪᱮᱫ ᱮᱛᱚᱦᱚᱵ ᱢᱮ ᱾
कृपया अपनी पुस्तक शुरू करें।	ᱫᱟᱭᱟ ᱠᱟᱛᱮ ᱟᱢᱟᱜ ᱯᱚᱛᱚᱵ ᱫᱚ ᱮᱦᱚᱵ ᱢᱮ ᱾
ए एल से शुरू करें।	'ᱮ'ᱮᱞ ᱠᱷᱚᱱ ᱮᱛᱚᱦᱚᱵ ᱢᱮ ᱾
सब कुछ एक साथ गिनें।	ᱥᱟᱱᱟᱢᱟᱜ ᱜᱮ ᱢᱤᱫ ᱥᱟᱶᱛᱮ ᱞᱮᱠᱷᱟ ᱢᱮ ᱾
एक, दो, तीन, चार, पाँच।	ᱢᱤᱫ, ᱵᱟᱨ, ᱯᱮᱭᱟ, ᱯᱳᱱ, ᱢᱚᱬᱮ ᱾
यह एक सेब है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱟᱢᱚᱞ ᱾
यह एक लाल रंग है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱟᱨᱟᱜ ꯃꯆꯨ ᱾
स्कूल जाना एक अच्छा काम है।	ᱵᱤᱨᱫᱟᱹᱜᱟᱲ ᱨᱮ ᱪᱟᱞᱟᱣ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱱᱟᱯᱟᱭ ᱠᱟᱹᱢᱤ ᱠᱟᱱᱟ ᱾
मुझे पढ़ना पसंद है।	ᱤᱧ ᱯᱟᱲᱦᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱮ ᱠᱷᱚᱡᱚᱜᱼᱟ ᱾
आपने इसे ठीक कर दिया है।	ᱟᱢ ᱱᱚᱶᱟ ᱫᱚ ᱱᱟᱯᱟᱭ ᱠᱚᱨᱟᱣ ᱟᱠᱟᱫᱟ ᱾
कल हम खाली हैं।	ᱦᱚᱭᱦᱩᱫᱮ ᱤᱧᱟᱹᱜ ᱪᱷᱟᱹᱲ ᱠᱟᱱᱟ ᱾
पानी पीना स्वास्थ्य के लिए अच्छा है।	ᱫᱟᱜᱧᱟᱢ ᱫᱚ ᱦᱚᱲᱢᱚ ᱞᱟᱹᱜᱤᱫ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ ᱾
अपने हाथ फैलाएँ।	ᱟᱢᱟᱜ ᱛᱤ ᱠᱚ ᱰᱟᱣᱩᱱᱞ ᱢᱮ ᱾
ध्यान से सुनें।	ᱢᱚᱱᱮ ᱠᱟᱛᱮ ᱵᱟᱰᱟᱭ ᱢᱮ ᱾
ब्लैकबोर्ड देखें।	ᱵᱞᱟᱠᱵᱳᱨᱰ ᱧᱮᱞ ᱢᱮ ᱾
अपने घर का काम करें।	ᱟᱢᱟᱜ ᱚᱲᱟᱜ ᱨᱮᱭᱟᱜ ᱠᱟᱹᱢᱤ ᱢᱮ ᱾
छात्रों का सम्मान करें।	ᱥᱮᱪᱮᱫᱤᱭᱟᱹ ᱠᱚ ᱢᱟᱹᱱ ᱮᱢ ᱢᱮ ᱾
पेड़ काले रंग के होते हैं।	ᱵᱤᱨ ᱠᱚᱫᱚ ᱜᱟᱹᱨᱰᱩ ᱾
सूर्य आकाश में है।	ᱥᱩᱨᱡᱚ ᱫᱚ ᱦᱚᱭᱦᱩᱫ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱾
गाय को दूध खिलाया जाता है।	ᱜᱳᱣ ᱫᱚ ᱰᱟᱣᱩᱱᱞ ᱮ ᱮᱢ ᱞᱮᱫᱟ ᱾
मेरा गाँव बहुत अच्छा है।	ᱤᱧᱟᱹᱜ ᱟᱛᱳ ᱫᱚ ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ ᱾
माँ बहुत अच्छी हैं।	ᱟᱭᱳ ᱫᱚ ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱾
शिक्षा से अधिक इच्छाएँ बढ़ती हैं।	ᱥᱮᱪᱮᱫ ᱠᱷᱚᱱ ᱩᱭᱦᱟᱹᱨᱮ ᱰᱷᱮᱨᱚᱜᱼᱟ ᱾
आज मौसम बहुत अच्छा है।	ᱛᱮᱦᱮᱧ ᱦᱚᱭᱦᱩᱫᱥᱤᱫ ᱟᱹᱰᱤ ᱱᱟᱯᱟᱭ ᱠᱟᱱᱟ ᱾
भोजन लें।	ᱡᱚᱢᱟᱜ ᱦᱟᱛᱟᱣ ᱢᱮ ᱾
शांत हो जाओ, कल सुबह उगता है।	ᱥᱳᱯᱨᱳᱫ ᱢᱮ, ᱦᱚᱭᱦᱩᱫᱮ ꯑꯌꯨꯛ ᱨᱮ ᱡᱟᱱᱟᱢᱚᱜᱼᱟ ᱾
चेतावनी को चिह्नित करें।	ᱮᱞᱟᱨᱴ ᱫᱚ ᱪᱤᱱᱦᱟᱹ ᱢᱮ ᱾
शब्द का अर्थ जानें।	ᱥᱟᱵᱟᱫ ᱨᱮᱭᱟᱜ ᱢᱮᱱᱮᱫ ᱵᱟᱰᱟᱭ ᱢᱮ ᱾
थोड़े समय में पढ़ें।	ᱠᱚᱢ ᱚᱠᱛᱚ ᱨᱮ ᱯᱟᱲᱦᱟᱣ ᱢᱮ ᱾
एक से सौ तक गिनें।	ᱢᱤᱫ ᱠᱷᱚᱱ ᱥᱟᱭ ᱫᱷᱟᱹᱵᱤᱡ ᱞᱮᱠᱷᱟ ᱢᱮ ᱾
यह नीला है।	ᱱᱚᱶᱟ ᱫᱚ ᱱᱤᱞᱩ ꯃꯆꯨ ᱾
बच्चा चल रहा है।	ᱜᱤᱫᱽᱨᱟᱹ ᱫᱚ ᱪᱟᱞᱟᱣᱚᱜ ᱠᱟᱱᱟ ᱾
लड़की किताबें पढ़ रही है।	ᱠᱩᱲᱤ ᱜᱤᱫᱽᱨᱟᱹ ᱫᱚ ᱯᱚᱛᱚᱵ ᱠᱚ ᱯᱟᱲᱦᱟᱣ ᱮᱫᱟ ᱾
हमारी भाषा हिंदी है।	ᱤᱧᱟᱹᱜ ᱯᱟᱹᱨᱥᱤ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱦᱤᱱᱫᱤ ᱾
शाल एक अच्छी भाषा है।	ᱥᱟᱱᱛᱟᱞᱤ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱱᱟᱯᱟᱭ ᱯᱟᱹᱨᱥᱤ ᱾
आप कहाँ जा रहे हैं?	ᱟᱢ ᱪᱮᱫ ᱥᱮᱫ ᱪᱟᱞᱟᱣᱚᱜ ᱠᱟᱱᱟ?
मुझे पढ़ना पसंद है।	ᱤᱧ ᱯᱟᱲᱦᱟᱣ ᱞᱟᱹᱜᱤᱫ ᱮ ᱱᱟᱯᱟᱭᱼᱟ ᱾
सभी लोग आएं।	ᱥᱟᱱᱟᱢ ᱦᱚᱲ ᱜᱮ ᱦᱮᱡ ᱢᱮ ᱾
शांत रहें और चले जाएँ।	ᱥᱩᱛᱚ ᱠᱟᱛᱮ ᱥᱮᱱ ᱢᱮ ᱾
किताबें मेज पर रखें।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱯᱚᱛᱚᱵ ᱫᱚᱦᱚ ᱢᱮ ᱾
खेल का समय आ गया है।	ᱠᱷᱮᱞ ᱨᱮᱭᱟᱜ ᱚᱠᱛᱚ ᱦᱮᱡ ᱟᱠᱟᱱᱟ ᱾
संख्याः एक।	ᱞᱮᱠᱷᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱢᱤᱫᱴᱟᱝ ᱾
संख्याएँ दो हैं।	ᱞᱮᱠᱷᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱵᱟᱨᱭᱟ ᱾
संख्या तीन है।	ᱞᱮᱠᱷᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱯᱮᱭᱟ ᱾
संख्याः 4।	ᱞᱮᱠᱷᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ 4 ᱜᱚᱴᱟᱝ ᱾
संख्या पाँच है।	ᱞᱮᱠᱷᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱾
संख्या छह है।	ᱞᱮᱠᱷᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱾
संख्या सात है।	ᱞᱮᱠᱷᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱾
संख्या 8 है।	ᱞᱮᱠᱷᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ 8 ᱜᱚᱴᱟᱝ ᱾
संख्या 9 है।	ᱞᱮᱠᱷᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ 9 ᱜᱚᱴᱟᱝ ᱾
संख्या दस है।	ᱞᱮᱠᱷᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱾
यह एक लाल रंग है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱟᱨᱟᱜ ꯃꯆꯨ ᱾
यह नीला है।	ᱱᱚᱶᱟ ᱫᱚ ᱱᱤᱞᱩ ꯃꯆꯨ ᱾
यह एक काला रंग है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱜᱟᱹᱨᱰᱩ ᱾
यह एक पीला रंग है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱡᱚᱞᱟ ꯃꯆꯨ ᱾
यह एक काला रंग है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱠᱟᱞᱚ ꯃꯆꯨ ᱾
यह सफेद रंग का है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱥᱟᱭᱴ ᱨᱚᱝ ᱾
यह एक सेब है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱟᱢᱚᱞ ᱾
यह एक काला है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱠᱟᱞ ᱠᱟᱱᱟ ᱾
यह एक आम बात है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱠᱟᱛᱷᱟ ᱠᱟᱱᱟ ᱾
यह एक सेब है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱟᱢᱚᱞ ᱾
यह नारियल है।	ᱱᱚᱶᱟ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱱᱟᱨᱠᱮᱞ ᱾
मेज पर एक सेब है।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर एक कॉल है।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱠᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
एक साधारण मेज पर।	ᱢᱤᱫᱴᱟᱝ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर एक सेब है।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर नारियल है।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱤᱫᱴᱟᱝ ᱱᱟᱨᱠᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर दो सेब हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱵᱟᱨᱭᱟ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर दो कल होते हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱵᱟᱨᱭᱟ ᱠᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
दो सामान्य मेज पर हैं।	ᱵᱟᱨᱭᱟ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर दो सेब हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱵᱟᱨᱭᱟ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर दो नारियल हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱵᱟᱨᱭᱟ ᱱᱟᱨᱠᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर तीन सेब हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱯᱮᱭᱟ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर तीन कल होते हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱯᱮᱭᱟ ᱠᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
तीन सामान्य मेज पर हैं।	ᱯᱮᱭᱟ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर तीन सेब हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱯᱮᱭᱟ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर तीन नारियल हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱯᱮᱭᱟ ᱱᱟᱨᱠᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर चार सेब हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ 4 ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर चार कल होते हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ 4 ᱜᱚᱴᱟᱝ ᱠᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
चार सामान्य मेज पर हैं।	ᱪᱮᱨᱟᱱ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर चार सेब हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ 4 ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर चार नारियल होते हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ 4 ᱜᱚᱴᱟᱝ ᱱᱟᱨᱠᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर पाँच सेब हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर पाँच कल होते हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱠᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
पाँच सामान्य मेज पर हैं।	ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर पाँच सेब हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर पाँच नारियल हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱚᱬᱮ ᱜᱚᱴᱟᱝ ᱱᱟᱨᱠᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर छह सेब हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर छह कल होते हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱠᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
सामान्य मेज पर छह हैं।	ᱥᱟᱫᱷᱟᱨᱚᱱ ᱴᱮᱵᱤᱞ ᱨᱮ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर छह सेब हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर छह नारियल हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱛᱩᱨᱩᱭ ᱜᱚᱴᱟᱝ ᱱᱟᱨᱠᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर सात सेब हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर सात केले हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱠᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
सात सामान्य मेज पर हैं।	ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर सात सेब हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर सात नारियल हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱮᱭᱟᱭ ᱜᱚᱴᱟᱝ ᱱᱟᱨᱠᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर 8 सेब हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ 8 ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर 8 कॉल हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ 8 ᱜᱚᱴᱟᱝ ᱠᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
सामान्य मेज पर 8 हैं।	ᱥᱟᱫᱷᱟᱨᱚᱱ ᱴᱮᱵᱤᱞ ᱨᱮ 8 ᱜᱚᱴᱟᱝ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर 8 सेब हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ 8 ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर 8 नारियल हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ 8 ᱜᱚᱴᱟᱝ ᱱᱟᱨᱠᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर 9 सेब हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ 9 ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर 9 कॉल हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ 9 ᱜᱚᱴᱟᱝ ᱠᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
सामान्य मेज पर 9 हैं।	ᱥᱟᱫᱷᱟᱨᱚᱱ ᱴᱮᱵᱤᱞ ᱨᱮ 9 ᱜᱚᱴᱟᱝ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर 9 सेब हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ 9 ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर 9 नारियल हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ 9 ᱜᱚᱴᱟᱝ ᱱᱟᱨᱠᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर दस सेब हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
सूची में दस केले हैं।	ᱛᱟᱹᱞᱤᱠᱟ ᱨᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱠᱟᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
दस सामान्य मेज पर हैं।	ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱥᱟᱫᱷᱟᱨᱚᱱ ᱴᱮᱵᱤᱞ ᱨᱮ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर दस सेब हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱟᱢᱚᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
मेज पर दस नारियल हैं।	ᱴᱮᱵᱤᱞ ᱨᱮ ᱜᱮᱞ ᱜᱚᱴᱟᱝ ᱱᱟᱨᱠᱮᱞ ᱢᱮᱱᱟᱜᱼᱟ ᱾
गाय एक जानवर है।	ᱜᱳᱣ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱢᱤᱫᱴᱟᱝ ᱵᱤᱨᱤᱭᱟᱹ ᱾
कुत्ता एक जानवर है।	ᱜᱳᱲ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱢᱤᱫᱴᱟᱝ ᱵᱤᱨᱤᱭᱟᱹ ᱾
बिल्ली एक जानवर है।	ᱵᱳᱭᱥ ᱫᱚ ᱢᱤᱫᱴᱟᱝ ᱵᱤᱨᱤᱭᱟᱹ ᱾
हाथी एक जानवर है।	ᱦᱟᱹᱱᱛᱤ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱢᱤᱫᱴᱟᱝ ᱡᱤᱭᱟᱹᱞᱤ ᱾
घोड़ा एक जानवर है।	ᱜᱳᱲᱟ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱢᱤᱫᱴᱟᱝ ᱵᱤᱨᱤᱭᱟᱹ ᱾
बंदर एक जानवर है।	ᱢᱟᱱᱠᱨᱤ ᱫᱚ ᱦᱩᱭᱩᱜ ᱠᱟᱱᱟ ᱢᱤᱫᱴᱟᱝ ᱵᱤᱨᱤᱭᱟᱹ ᱾
गाय चल रही है।	ᱜᱳᱭ ᱫᱚ ᱪᱟᱞᱟᱣᱚᱜ ᱠᱟᱱᱟ ᱾
गाय खा रही है।	ᱜᱳᱭ ᱫᱚ ᱠᱷᱟᱱ ᱠᱟᱱᱟ ᱾
अंधेरा सो रहा है।	ᱜᱳᱭᱮᱱᱫᱚ ᱥᱩᱲᱤ ᱠᱟᱱᱟ ᱾
गाय पढ़ रही है।	ᱜᱳᱭ ᱫᱚ ᱯᱟᱲᱦᱟᱣᱚᱜ ᱠᱟᱱᱟ ᱾
गाय गा रही है।	ᱜᱳᱭ ᱫᱚ ᱥᱮᱨᱮᱧ ᱟᱠᱟᱫᱟᱭ ᱾
कुत्ता चल रहा है।	ᱜᱳᱲᱤᱭᱟᱹ ᱫᱚ ᱪᱟᱞᱟᱣᱚᱜ ᱠᱟᱱᱟ ᱾
कुत्ता खा रहा है।	ᱜᱳᱲᱤᱭᱟᱹ ᱫᱚ ᱠᱷᱟᱱ ᱠᱟᱱᱟ ᱾
कुत्ता सो रहा है।	ᱜᱳᱲᱤᱭᱟᱹ ᱫᱚ ᱥᱩᱲᱤ ᱠᱟᱱᱟ ᱾
कुत्ता पढ़ रहा है।	ᱜᱳᱲᱤᱭᱟᱹ ᱫᱚ ᱯᱟᱲᱦᱟᱣ ᱟᱠᱟᱫᱟᱭ ᱾
कुत्ता गा रहा है।	ᱜᱳᱲᱤᱭᱟᱹ ᱫᱚ ᱥᱮᱨᱮᱧ ᱟᱠᱟᱫᱟᱭ ᱾
बिल्ली चल रही है।	ᱵᱳᱭᱥ ᱫᱚ ᱪᱟᱞᱟᱣᱚᱜ ᱠᱟᱱᱟ ᱾
बिल्ली खा रही है।	ᱵᱳᱭᱥ ᱫᱚ ᱠᱷᱟᱱ ᱠᱟᱱᱟ ᱾
बिल्ली सूखी है।	ᱵᱳᱭᱥ ᱫᱚ ᱥᱩᱲᱤ ᱠᱟᱱᱟ ᱾
बस पढ़ रहा है।	ᱵᱳᱭᱥ ᱫᱚ ᱯᱟᱲᱦᱟᱣᱚᱜ ᱠᱟᱱᱟ ᱾
बॉयज़ गा रहा है।	ᱵᱳᱭᱥ ᱫᱚ ᱥᱮᱨᱮᱧ ᱟᱠᱟᱫᱟᱭ ᱾
हाथी आगे बढ़ रहा है।	ᱦᱟᱹᱱᱛᱤ ᱫᱚ ᱪᱟᱞᱟᱣᱚᱜ ᱠᱟᱱᱟ ᱾
हाथी खा रहा है।	ᱦᱟᱹᱱᱛᱤ ᱫᱚ ᱠᱷᱟᱱ ᱠᱟᱱᱟ ᱾
हाथी ठंडा है।	ᱦᱟᱹᱱᱛᱤ ᱫᱚ ᱥᱩᱲᱤ ᱠᱟᱱᱟ ᱾
हाथी पढ़ रहा है।	ᱦᱟᱹᱱᱛᱤ ᱫᱚ ᱯᱟᱲᱦᱟᱣ ᱟᱠᱟᱫᱟᱭ ᱾
हाथी गा रहा है।	ᱦᱟᱹᱱᱛᱤ ᱫᱚ ᱥᱮᱨᱮᱧ ᱟᱠᱟᱫᱟᱭ ᱾
घोड़ा चल रहा है।	ᱜᱳᱲᱟ ᱫᱚ ᱪᱟᱞᱟᱣᱚᱜ ᱠᱟᱱᱟ ᱾
घोड़ा खा रहा है।	ᱜᱳᱲᱟ ᱫᱚ ᱠᱷᱟᱱ ᱠᱟᱱᱟ ᱾
घोड़ा सो रहा है।	ᱜᱳᱲᱟ ᱫᱚ ᱥᱩᱲᱤ ᱠᱟᱱᱟ ᱾
